Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
30 2 301 N/A 1.97 3.46 N/A N/A 0.9 4 294 N/A 1.67 2.94 N/A N/A 0.9 3 275 N/A 8.27 10.91 N/A N/A 0.9 21 270 N/A 6.54 6.81 N/A N/A 0.9 15 270 N/A 6.78 7.05 N/A N/A 0.9 16 -0.7 17.0 447.1 -0.8 3.5 8.4 -1.7 3.8 89.8 1.8 -3.0 1.2 -2.7 1.0 -10.9 0.0 -6.8 0.0 -7.1
30 3 302 N/A 5.35 9.37 N/A N/A 0.9 16 294 N/A 4.63 8.11 N/A N/A 0.9 13 277 N/A 20.05 26.46 N/A N/A 0.9 79 270 N/A 15.81 16.45 N/A N/A 0.9 57 270 N/A 16.36 17.02 N/A N/A 0.9 60 -1.6 38.2 1006.0 -3.1 12.2 29.6 -4.3 9.7 226.5 5.0 -7.9 3.3 -7.4 3.0 -26.3 0.0 -16.4 0.0 -17.0
30 4 308 N/A 8.99 15.71 N/A N/A 0.89 36 297 N/A 7.88 13.78 N/A N/A 0.89 29 281 N/A 27.1 35.76 N/A N/A 0.9 124 270 N/A 21.07 21.92 N/A N/A 0.9 87 270 N/A 21.76 22.63 N/A N/A 0.9 91 -1.6 38.2 1006.0 -7.5 24.5 59.4 -9.1 20.8 484.8 9.8 -12.3 6.2 -12.3 6.8 -35.1 0.0 -21.9 0.0 -22.6
30 5 310 N/A 15.34 26.68 N/A N/A 0.89 80 302 N/A 13.77 23.95 N/A N/A 0.89 68 284 N/A 39.16 51.66 N/A N/A 0.9 216 270 N/A 29.94 31.11 N/A N/A 0.9 147 270 N/A 30.85 32.04 N/A N/A 0.9 154 -1.6 38.2 1006.0 -15.7 46.9 113.8 -16.7 38.1 889.3 17.2 -20.4 12.5 -20.4 12.9 -50.0 0.0 -31.1 0.0 -32.0
30 6 311 N/A 24.04 41.34 N/A N/A 0.88 156 304 N/A 21.87 37.61 N/A N/A 0.88 136 287 N/A 55.99 73.88 N/A N/A 0.9 369 270 N/A 42.11 43.61 N/A N/A 0.9 246 270 N/A 43.31 44.85 N/A N/A 0.9 257 -1.6 38.2 1006.0 -26.6 75.4 182.9 -27.8 63.4 1479.3 27.3 -31.0 21.2 -31.0 21.5 -70.7 0.0 -43.6 0.0 -44.9
30 7 311 N/A 36.96 62.52 N/A N/A 0.87 298 306 N/A 34.06 57.62 N/A N/A 0.87 263 289 N/A 80.62 106.38 N/A N/A 0.9 637 270 N/A 59.55 61.3 N/A N/A 0.89 414 270 N/A 61.15 62.95 N/A N/A 0.89 430 -1.6 38.2 1006.0 -42.9 119.5 289.8 -42.7 97.4 2271.4 41.4 -46.9 33.5 -46.9 34.3 -100.7 0.0 -61.3 0.0 -62.9
30 8 313 N/A 54.49 89.85 N/A N/A 0.84 533 308 N/A 50.04 82.5 N/A N/A 0.84 469 290 N/A 99.0 130.63 N/A N/A 0.9 867 270 N/A 87.61 89.11 N/A N/A 0.88 738 270 N/A 89.99 91.53 N/A N/A 0.88 768 -1.6 38.2 1006.0 -61.3 166.2 403.2 -62.6 142.7 3328.5 61.8 -65.2 50.6 -65.2 44.6 -122.8 0.0 -89.1 0.0 -91.5
40 1 286 N/A 0.51 0.89 N/A N/A 0.9 0 294 N/A 0.42 0.75 N/A N/A 0.9 0 271 N/A 2.28 3.0 N/A N/A 0.9 3 270 N/A 1.81 1.88 N/A N/A 0.9 2 270 N/A 1.87 1.95 N/A N/A 0.9 2 -0.2 5.5 130.6 -0.0 0.3 0.5 -0.3 1.0 19.7 0.2 -0.9 0.3 -0.7 0.1 -3.0 0.0 -1.9 0.0 -1.9
40 2 287 N/A 2.7 4.74 N/A N/A 0.9 6 294 N/A 2.35 4.12 N/A N/A 0.9 5 272 N/A 10.26 13.54 N/A N/A 0.9 29 270 N/A 8.13 8.46 N/A N/A 0.9 21 270 N/A 8.4 8.74 N/A N/A 0.9 22 -0.6 21.8 522.4 -0.7 4.5 7.5 -1.5 4.9 101.2 1.4 -4.5 1.7 -3.8 0.6 -13.5 0.0 -8.5 0.0 -8.7
40 3 288 N/A 7.19 12.6 N/A N/A 0.9 26 294 N/A 6.38 11.18 N/A N/A 0.9 21 273 N/A 24.87 32.81 N/A N/A 0.9 109 270 N/A 19.67 20.46 N/A N/A 0.9 78 270 N/A 20.3 21.11 N/A N/A 0.9 82 -1.5 49.1 1175.3 -3.0 15.7 26.4 -3.8 12.5 255.2 3.8 -12.0 4.5 -10.2 1.9 -32.8 0.0 -20.5 0.0 -21.1
