Angle DP_number Thrust_angle_deg_thr_1_:_azi_port Rudder_angle_deg_thr1_:_azi_port Nominal_thrust_utilisation_%_thr1_:_azi_port Effective_thrust_kN_thr1_:_azi_port Tx_rudder_kN_thr1_:_azi_port Ty_rudder_kN_thr1_:_azi_port Thrust_loss_factor_thr1_:_azi_port Utilized_power_kW_thr1_:_azi_port Thrust_angle_deg_thr_2_:_azi_stb Rudder_angle_deg_thr2_:_azi_stb Nominal_thrust_utilisation_%_thr2_:_azi_stb Effective_thrust_kN_thr2_:_azi_stb Tx_rudder_kN_thr2_:_azi_stb Ty_rudder_kN_thr2_:_azi_stb Thrust_loss_factor_thr2_:_azi_stb Utilized_power_kW_thr2_:_azi_stb Thrust_angle_deg_thr_3_:_tt1 Rudder_angle_deg_thr3_:_tt1 Nominal_thrust_utilisation_%_thr3_:_tt1 Effective_thrust_kN_thr3_:_tt1 Tx_rudder_kN_thr3_:_tt1 Ty_rudder_kN_thr3_:_tt1 Thrust_loss_factor_thr3_:_tt1 Utilized_power_kW_thr3_:_tt1 Thrust_angle_deg_thr_4_:_tt2 Rudder_angle_deg_thr4_:_tt2 Nominal_thrust_utilisation_%_thr4_:_tt2 Effective_thrust_kN_thr4_:_tt2 Tx_rudder_kN_thr4_:_tt2 Ty_rudder_kN_thr4_:_tt2 Thrust_loss_factor_thr4_:_tt2 Utilized_power_kW_thr4_:_tt2 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_azi_port solution_Ty_kN_thr_:_azi_port solution_Tx_kN_thr_:_azi_stb solution_Ty_kN_thr_:_azi_stb solution_Tx_kN_thr_:_tt1 solution_Ty_kN_thr_:_tt1 solution_Tx_kN_thr_:_tt2 solution_Ty_kN_thr_:_tt2
30 7 322 N/A 46.58 110.81 N/A N/A 0.9 715 317 N/A 42.04 100.01 N/A N/A 0.9 613 270 N/A 80.4 167.68 N/A N/A 0.9 1168 270 N/A 81.98 170.12 N/A N/A 0.89 1202 -2.7 57.8 1489.6 -59.3 178.2 491.7 -66.6 143.2 3689.8 87.4 -68.1 73.3 -68.1 0.0 -167.7 0.0 -170.1
40 1 265 N/A 0.48 1.15 N/A N/A 0.9 1 309 N/A 0.71 1.68 N/A N/A 0.9 1 270 N/A 2.36 4.94 N/A N/A 0.9 6 270 N/A 2.44 5.09 N/A N/A 0.9 6 -0.3 8.3 190.1 -0.1 0.3 0.6 -0.5 1.4 31.8 -0.1 -1.1 1.1 -1.3 0.0 -4.9 0.0 -5.1
40 2 298 N/A 3.08 7.33 N/A N/A 0.9 12 287 N/A 2.75 6.55 N/A N/A 0.9 10 270 N/A 10.36 21.65 N/A N/A 0.9 54 270 N/A 10.67 22.3 N/A N/A 0.9 56 -1.0 33.0 760.6 -0.9 5.0 9.7 -2.3 7.3 163.6 3.5 -6.5 1.9 -6.3 0.0 -21.7 0.0 -22.3
40 3 300 N/A 8.21 19.57 N/A N/A 0.9 53 287 N/A 7.36 17.55 N/A N/A 0.9 45 270 N/A 25.18 52.61 N/A N/A 0.9 205 270 N/A 25.9 54.11 N/A N/A 0.9 214 -2.4 74.3 1711.3 -3.8 19.7 37.8 -5.9 18.4 412.7 9.8 -16.9 5.1 -16.8 0.0 -52.6 0.0 -54.1
40 4 305 N/A 13.31 31.74 N/A N/A 0.9 109 295 N/A 11.94 28.46 N/A N/A 0.9 93 270 N/A 34.05 71.15 N/A N/A 0.9 322 270 N/A 34.96 73.02 N/A N/A 0.9 335 -2.4 74.3 1711.3 -9.3 43.1 82.7 -12.6 39.3 883.2 18.4 -25.8 11.9 -25.8 0.0 -71.2 0.0 -73.0
40 5 308 N/A 22.29 53.13 N/A N/A 0.9 237 300 N/A 20.25 48.26 N/A N/A 0.9 205 270 N/A 49.15 102.69 N/A N/A 0.9 558 270 N/A 50.34 105.09 N/A N/A 0.9 579 -2.4 74.3 1711.3 -20.2 86.7 166.2 -23.1 72.1 1620.2 32.9 -41.8 24.2 -41.8 0.0 -102.7 0.0 -105.1
40 6 310 N/A 34.62 82.46 N/A N/A 0.9 458 303 N/A 31.66 75.41 N/A N/A 0.9 401 270 N/A 70.07 146.32 N/A N/A 0.9 950 270 N/A 71.59 149.21 N/A N/A 0.9 981 -2.4 74.3 1711.3 -34.8 143.2 274.4 -38.4 119.9 2695.0 53.1 -63.1 41.3 -63.1 0.0 -146.3 0.0 -149.2
40 7 319 N/A 62.09 147.68 N/A N/A 0.9 1101 290 N/A 43.32 103.04 N/A N/A 0.9 642 270 N/A 100.0 208.52 N/A N/A 0.9 1620 270 N/A 100.0 207.4 N/A N/A 0.89 1620 -2.4 74.3 1711.3 -56.6 229.1 439.0 -58.9 184.0 4138.1 111.6 -96.7 35.7 -96.7 0.0 -208.5 0.0 -207.4
50 1 265 N/A 0.73 1.74 N/A N/A 0.9 1 297 N/A 0.89 2.12 N/A N/A 0.9 2 270 N/A 2.66 5.55 N/A N/A 0.9 7 270 N/A 2.73 5.7 N/A N/A 0.9 7 -0.2 9.8 183.5 -0.1 0.4 0.4 -0.4 1.7 32.4 -0.2 -1.7 1.0 -1.9 0.0 -5.5 0.0 -5.7
50 2 282 N/A 4.01 9.55 N/A N/A 0.9 18 287 N/A 3.73 8.88 N/A N/A 0.9 16 270 N/A 11.74 24.53 N/A N/A 0.9 65 270 N/A 12.05 25.17 N/A N/A 0.9 68 -0.9 39.3 733.9 -0.9 6.0 6.5 -2.0 8.7 166.4 2.0 -9.3 2.6 -8.5 0.0 -24.5 0.0 -25.2
50 3 284 N/A 10.41 24.82 N/A N/A 0.9 76 287 N/A 9.78 23.31 N/A N/A 0.9 69 270 N/A 28.6 59.76 N/A N/A 0.9 248 270 N/A 29.31 61.24 N/A N/A 0.9 257 -2.0 88.5 1651.2 -3.5 23.5 25.2 -4.9 21.9 419.8 6.2 -24.0 6.8 -22.3 0.0 -59.8 0.0 -61.2
50 4 294 N/A 16.11 38.41 N/A N/A 0.9 146 287 N/A 15.18 36.18 N/A N/A 0.9 133 270 N/A 38.77 81.0 N/A N/A 0.9 391 270 N/A 39.67 82.87 N/A N/A 0.9 405 -2.0 88.5 1651.2 -8.7 51.4 55.2 -10.6 46.8 898.5 15.9 -35.0 10.6 -34.6 0.0 -81.0 0.0 -82.9
50 5 298 N/A 26.16 62.36 N/A N/A 0.9 301 291 N/A 24.64 58.73 N/A N/A 0.9 275 270 N/A 56.2 117.41 N/A N/A 0.9 682 270 N/A 57.39 119.81 N/A N/A 0.9 704 -2.0 88.5 1651.2 -18.8 103.3 111.0 -19.4 85.9 1648.4 29.4 -55.0 20.7 -55.0 0.0 -117.4 0.0 -119.8
